Stanox,Latitude,Longitude
86901,50.81683008,-1.57352264
18492,53.59698567,-1.769692074
87629,51.46464726,-0.037510903
14003,54.95955029,-1.461366548
38218,53.32186095,-2.98689505
38216,53.3299209,-2.989468646
29177,53.61405523,-2.410896839
88482,51.40832558,0.017018585
88477,51.39997423,0.017369834
67003,52.32229821,-2.047338711
72415,51.54516617,-0.20228372
72414,51.54069949,-0.210102842
53995,51.72106441,-0.204525685
86041,51.30375448,-0.635730434
79099,52.42278398,-2.885205776
19213,53.74022731,-0.671834395
19211,53.72697908,-0.578729496
3041,56.46714943,-2.873155592
51722,51.7469138,-0.0110604
51952,51.59395935,-0.06984192
48215,52.61950707,1.439322345
48216,52.6234668,1.418439762
4635,55.94250455,-3.100989514
36082,53.38325584,-2.976076864
82299,51.11163128,-2.447073394
35394,53.49988016,-2.647213734
48213,52.59776184,1.470349151
41019,53.16304988,-3.055925717
79097,52.35739033,-2.947376684
30201,53.67335583,-2.660826584
85231,50.40033578,-4.792141107
79080,52.16933009,-3.427040685
55116,52.99971332,-1.196227126
50109,51.97117159,0.769176529
87971,50.9536494,-0.127385863
17101,53.81204457,-1.577771291
17045,53.90816394,-1.753375554
32522,53.42118113,-2.215676673
11005,54.35498727,-2.766679135
73996,51.52350637,-0.646356014
50304,51.63366171,0.814057863
29043,53.79089068,-2.258086247
29041,53.79352472,-2.24497169
29005,53.78497808,-2.24886762
7553,55.81692081,-4.202375566
3291,56.05707358,-3.23319841
35022,53.60527065,-2.840878973
30157,53.59753351,-2.840604318
86223,50.88367713,-1.305021601
55499,52.9834598,-1.040874341
57712,52.80583155,-1.642454754
46301,52.25377795,0.713335511
7613,55.78033362,-4.262187227
51947,51.64151935,-0.06919476
72003,51.6455845,-0.384725998
72001,51.64575424,-0.385298119
65345,52.59248386,-1.838013136
87768,50.99000763,0.131466042
86022,51.34979339,-0.481369655
79054,51.67203561,-4.098901915
31620,53.57415753,-2.425822609
78719,51.41227744,-3.248905678
41027,53.10787759,-3.032913064
78374,51.57157715,-3.21849202
64312,52.51613705,-3.432503102
7334,55.88793734,-3.887701288
76078,51.58478867,-2.760578391
52058,51.54304142,-0.116703078
84209,50.49778388,-4.209017247
68140,51.71762092,-2.359081486
87099,51.33632543,-0.74425445
85622,50.2104245,-5.297460001
52738,51.53197223,-0.057251933
47221,52.19407869,0.137484678
7411,55.81960056,-4.172994751
72421,51.54179134,-0.138675055
5037,56.00608511,-3.817598342
87568,51.49798944,-0.049693416
69207,52.39925546,-1.547565133
65512,52.68617551,-2.022141339
88403,51.51138218,-0.090266979
52048,51.54873255,-0.092164332
89512,51.27427046,1.075998535
89446,51.28427199,1.075333258
48211,52.57877152,1.513436218
38304,53.26018779,-2.942284291
85713,50.19703882,-5.463314583
3248,56.14124698,-3.261641795
78456,51.46710741,-3.16641163
78420,51.48889804,-3.178691723
77301,51.47602424,-3.179310358
78451,51.48196046,-3.170188998
7154,55.85256175,-4.340677505
6113,55.96037058,-4.653054819
7432,55.80733429,-3.956243043
11331,54.17796288,-2.974063414
55497,52.96510586,-1.078651252
7955,55.73126123,-3.848914064
80419,51.8533598,-4.305983612
7294,55.83433118,-4.158166784
11525,54.12968668,-2.771231099
3031,56.50055204,-2.706606515
6706,55.85486675,-4.178558644
72004,51.62835347,-0.385916631
